ITEM,VENDOR,STATUS
3480381,21018,Y
3232249,21018,Y
3232250,21018,Y
3444798,12532,Y
3444807,12532,Y
3524070,20734,N
3524071,20734,Y
3524072,20734,Y
3510697,20734,Y
3510698,20734,Y
3510699,20734,Y
3510700,20734,Y
3455948,17666,Y
3515394,20812,Y
3515395,20812,Y
3530862,20812,N
3519042,20812,Y
3519043,20812,Y
3519044,20812,Y
3519045,20812,Y
3525167,20812,Y
3454990,17638,Y
3454991,17638,Y
3454992,17638,Y
3454993,17638,Y
3444795,15512,Y
3278389,16701,Y
3278390,16701,Y
3493826,17639,Y
3454994,17639,Y
3454995,17639,Y
3454996,17639,Y
3454997,17639,Y
3503267,17639,Y
3488561,17259,Y
3488562,17259,Y
3488563,17259,Y
3440951,17259,Y
3440952,17259,Y
3440953,17259,Y
3440955,17259,Y
3341297,19939,Y
3341298,19939,Y
3442900,19939,Y
3459106,19939,Y
3341299,19939,Y
3005069,11266,Y
3005070,11266,Y
3054454,11266,Y
3295195,19028,Y
3295196,19028,Y
3295197,19028,Y
3295198,19028,Y
3295199,19028,Y
3295200,19028,Y
3390935,19028,Y
3387857,19028,N
3427995,11119,Y
3427998,11119,Y
3102394,11119,Y
3102395,11119,Y
3348492,11119,Y
3453969,11119,Y
3489128,11119,Y
3143098,11119,Y
3492416,11119,N
3512339,11119,Y
3521651,11119,N
3521652,11119,Y
3110011,11119,Y
3110012,11119,Y
3460189,11119,Y
3224617,11119,Y
3524202,11119,Y
3150386,11119,Y
3365210,11119,Y
3365211,11119,Y
3276842,11119,Y
3276843,11119,Y
3318852,11119,Y
3361960,11119,Y
3352990,11119,Y
3337528,11119,Y
3400708,11119,Y
3545693,11119,N
3201689,11119,Y
3205668,11119,Y
3199550,11119,Y
3495684,11119,Y
3502829,11119,Y
3317725,10023,Y
3416065,10023,Y
3416066,10023,Y
3416071,10023,Y
3005073,10023,Y
3005075,10023,Y
3005077,10023,Y
3295355,10023,Y
3258064,10023,Y
3489126,10023,Y
3524289,10023,Y
3356234,10023,Y
3192836,10023,Y
3286741,10023,Y
3532867,10023,Y
3536326,10023,Y
3126487,10023,Y
3282731,10023,Y
3467853,10023,Y
3214107,10023,Y
3216135,10023,Y
3377186,10023,Y
3401492,10023,Y
3401493,10023,Y
3401494,10023,Y
3290133,10023,Y
3290134,10023,Y
3345933,10023,Y
3229501,10023,Y
3231570,10023,Y
3503221,10023,Y
3507730,20846,Y
3507731,20846,Y
3284188,20846,Y
3284196,20846,Y
3368786,20846,Y
3496755,20846,Y
3496756,20846,Y
3225551,20846,Y
3253189,20846,Y
3441648,20846,Y
3138983,20846,Y
3431913,20846,Y
3431914,20846,Y
3431961,20846,Y
3430767,20846,Y
3430768,20846,Y
3430769,20846,Y
3431039,20846,Y
3431040,20846,Y
3003245,20846,Y
3003246,20846,Y
3003356,20846,Y
3003358,20846,Y
3003359,20846,Y
3003360,20846,Y
3003368,20846,Y
3003369,20846,Y
3003383,20846,Y
3003388,20846,Y
3003389,20846,Y
3003392,20846,Y
3003424,20846,Y
3003425,20846,Y
3500252,20846,Y
3530120,20846,N
3530121,20846,N
3530295,20846,N
3255354,20846,Y
3312942,20846,Y
3446824,20846,Y
3533269,20846,Y
3533840,20846,Y
3437747,20846,Y
3450830,20846,Y
3466390,20846,Y
3298228,20846,N
3447980,20846,Y
3334803,20944,Y
3334806,20944,Y
3158922,20944,Y
3278393,20944,Y
3278394,20944,Y
3365055,20944,Y
3442428,12320,N
3442429,12320,N
3442481,12320,Y
3493351,12320,N
3493352,12320,N
3481810,12320,Y
3440244,12320,Y
3440249,12320,Y
3440252,12320,Y
3468909,12320,Y
3413710,12320,Y
3413711,12320,Y
3413712,12320,Y
3451265,12320,Y
3422157,12320,Y
3422161,12320,Y
3416680,20142,Y
3416681,20142,Y
3430952,20142,Y
3433445,20142,Y
3175364,20142,Y
3113220,20142,Y
3113222,20142,Y
3103653,15348,Y
3103654,15348,N
3054535,15348,N
3097779,15348,Y
3325998,15348,Y
3084503,15348,Y
3084504,15348,Y
3509078,15348,N
3284683,19219,Y
3479885,19219,N
3495074,19219,N
3373113,19219,Y
3529243,19219,Y
3529244,19219,Y
3529245,19219,Y
3529246,19219,N
3529247,19219,N
3529248,19219,Y
3530491,19219,Y
3360436,19219,N
3384346,19219,Y
3384347,19219,Y
3352387,19219,Y
3538108,19219,Y
3408152,19219,Y
3173260,11841,Y
3040978,11841,Y
3040979,11841,Y
3040982,11841,Y
3040983,11841,Y
3040988,11841,Y
3063378,12015,N
3004519,12015,Y
3004551,12015,Y
3050100,14337,Y
3054513,14337,Y
3054515,14337,Y
3054516,14337,N
3054518,14337,N
3054519,14337,Y
3054520,14337,Y
3244892,14337,Y
3387928,12547,Y
3432384,12547,Y
3432386,12547,Y
3494751,12547,Y
3403158,12547,Y
3403160,12547,Y
3403162,12547,Y
3217598,12547,Y
3199340,12547,Y
3199341,12547,Y
3199342,12547,Y
3518223,15208,N
3543335,15208,N
3550808,15208,Y
3541465,15208,N
3541466,15208,N
3518675,15208,Y
3518676,15208,N
3536487,15208,N
3528752,15208,Y
3554236,15208,Y
3501372,15208,Y
3538419,15208,Y
3557777,15208,N
3534601,15208,N
3533694,15208,N
3533695,15208,N
3493423,15208,N
3493424,15208,N
3538906,15208,N
3538907,15208,N
3506580,15208,Y
3531392,15208,Y
3523140,15208,Y
3523141,15208,N
3496126,15208,Y
3496127,15208,Y
3528748,15208,N
3528749,15208,Y
3528750,15208,Y
3535085,15208,N
3537737,15208,N
3550806,15208,N
3534020,15208,N
3535084,15208,N
3535608,15208,N
3536484,15208,Y
3536485,15208,Y
3536486,15208,Y
3518674,15208,Y
3518677,15208,N
3557778,15208,Y
3543334,15208,Y
3504123,15208,Y
3504124,15208,N
3537715,15208,Y
3538420,15208,Y
3538908,15208,Y
3541467,15208,N
3477798,18833,N
3477799,18833,N
3477800,18833,N
3473447,18833,N
3190990,11777,Y
3190991,11777,Y
3430483,11777,Y
3430484,11777,Y
3430485,11777,N
3217698,11777,N
3397927,11011,Y
