STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
6,3517119,15506,111-Cty Bot giat LIX-NR,,Y
7,3517120,15506,111-Cty Bot giat LIX-NR,,Y
8,3517121,15506,111-Cty Bot giat LIX-NR,,Y
23,3463102,15790,110-CTy CP HMP My Hao,X,N
28,3541459,15800,110-Cty TNHH 1TV Tri Hoi,x,N
29,3541460,15800,110-Cty TNHH 1TV Tri Hoi,x,N
30,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
34,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,x,N
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y
39,3196366,15800,110-Cty TNHH 1TV Tri Hoi,x,N
40,3196367,15800,110-Cty TNHH 1TV Tri Hoi,x,N
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,x,N
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
126,3545292,16760,110-Cua Hang Hue Lam,x,N
138,3132145,15790,110-CTy CP HMP My Hao,x,N
139,3132228,15790,110-CTy CP HMP My Hao,x,N
142,3386499,15506,111-Cty Bot giat LIX-NR,,Y
143,3386500,15506,111-Cty Bot giat LIX-NR,,Y
144,3386501,15506,111-Cty Bot giat LIX-NR,,Y
145,3386502,15506,111-Cty Bot giat LIX-NR,,Y
146,3386503,15506,111-Cty Bot giat LIX-NR,,Y
147,3386504,15506,111-Cty Bot giat LIX-NR,,Y
148,3386505,15506,111-Cty Bot giat LIX-NR,,Y
149,3386506,15506,111-Cty Bot giat LIX-NR,,Y
150,3386507,15506,111-Cty Bot giat LIX-NR,,Y
151,3386508,15506,111-Cty Bot giat LIX-NR,,Y
152,3386509,15506,111-Cty Bot giat LIX-NR,,Y
153,3491227,15506,111-Cty Bot giat LIX-NR,,Y
