STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3517119,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
2,3517120,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
3,3517121,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
4,3463102,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
5,3541459,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
6,3541460,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
7,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
8,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
9,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Ngung kinh doanh,N
10,3196366,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
11,3196367,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
12,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
13,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
14,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
15,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
16,3545292,16760,110-Cua Hang Hue Lam,Dang kinh doanh,Y
17,3132145,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
18,3132228,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
19,3386499,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
20,3386500,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
21,3386501,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
22,3386502,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
23,3386503,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
24,3386504,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
25,3386505,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
26,3386506,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
27,3386507,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
28,3386508,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
29,3386509,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
30,3491227,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
31,3491953,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
32,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
33,3295614,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
34,3497823,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
35,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
36,3054635,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
37,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
38,3257943,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
39,3257947,16760,110-Cua Hang Hue Lam,Dang kinh doanh,Y
40,3257948,16760,110-Cua Hang Hue Lam,Dang kinh doanh,Y
41,3314153,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
42,3314154,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
43,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
44,3250058,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
45,3250059,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
46,3284516,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
47,3285331,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
48,3008472,14653,110-DNTN Dai Phat,Ngung kinh doanh,N
49,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
50,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
51,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
52,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
53,3008486,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
54,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),Dang kinh doanh,Y
55,3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
56,3140316,14530,110-Co so Nguyen Van Sau,Dang kinh doanh,Y
57,3390942,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
58,3390945,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
59,3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
60,3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
61,3525066,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
62,3282741,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
63,3535758,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
64,3137587,15790,110-CTy CP HMP My Hao,Dang kinh doanh,Y
65,3137588,15790,110-CTy CP HMP My Hao,Dang kinh doanh,Y
66,3137589,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
67,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Ngung kinh doanh,N
68,3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
69,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
70,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Ngung kinh doanh,N
71,3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
72,3513553,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
73,3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
74,3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
75,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
76,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
77,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
78,3314078,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
79,3314147,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
80,3452209,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
81,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
82,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
83,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
84,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
85,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
86,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
87,3184818,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
88,3184823,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
89,3184824,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
90,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
91,3160021,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
92,3160022,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
93,3160023,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
94,3160024,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
95,3288046,15800,110-Cty TNHH 1TV Tri Hoi,Dang kinh doanh,Y
96,3333828,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
97,3333830,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
98,3333833,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
99,3333834,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
100,3333835,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
101,3372212,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
102,3372213,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
103,3372214,15506,111-Cty Bot giat LIX-NR,Ngung kinh doanh,N
104,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
105,3530731,21076,110-Cong Ty TNHH SALACOS -NR,Ngung kinh doanh,N
106,3530732,21076,110-Cong Ty TNHH SALACOS -NR,Ngung kinh doanh,N
107,3530733,21076,110-Cong Ty TNHH SALACOS -NR,Ngung kinh doanh,N
108,3530734,21076,110-Cong Ty TNHH SALACOS -NR,Ngung kinh doanh,N
109,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
110,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
111,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Dang kinh doanh,Y
112,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
113,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,Ngung kinh doanh,N
114,3356098,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
115,3356101,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
116,3192268,16760,110-Cua Hang Hue Lam,Dang kinh doanh,Y
117,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,Ngung kinh doanh,N
118,3277949,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
119,3277950,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
120,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,Dang kinh doanh,Y
121,3541455,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
122,3553316,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
123,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
124,3271310,16760,110-Cua Hang Hue Lam,Ngung kinh doanh,N
125,3320019,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
126,3535759,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
127,3535760,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
128,3535761,21076,110-Cong Ty TNHH SALACOS -NR,Dang kinh doanh,Y
129,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
130,3384314,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
131,3437745,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
132,3437748,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
133,3437749,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
