STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
402,3480381,21018,100-Congty CP Phuc Long Heritage-NR,dang kinh doanh,Y
770,3232249,21018,100-Congty CP Phuc Long Heritage-NR,dang kinh doanh,Y
771,3232250,21018,100-Congty CP Phuc Long Heritage-NR,dang kinh doanh,Y
264,3444798,12532,100-Cty CP CNTP Luong Gia-NR,dang kinh doanh,Y
265,3444807,12532,100-Cty CP CNTP Luong Gia-NR,dang kinh doanh,Y
474,3524070,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
475,3524071,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
476,3524072,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
549,3510697,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
550,3510698,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
551,3510699,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
552,3510700,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,dang kinh doanh,Y
542,3455948,17666,100-Cty CP SXTM Tai Tai-NR,dang kinh doanh,Y
324,3515394,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
325,3515395,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
465,3530862,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
649,3519042,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
650,3519043,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
651,3519044,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
652,3519045,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
679,3525167,20812,100-Cty CP TP ThNhien King Green-NR,dang kinh doanh,Y
665,3454990,17638,100-Cty CP TP Va Do Uong Vinatea-NR,dang kinh doanh,Y
666,3454991,17638,100-Cty CP TP Va Do Uong Vinatea-NR,dang kinh doanh,Y
667,3454992,17638,100-Cty CP TP Va Do Uong Vinatea-NR,dang kinh doanh,Y
668,3454993,17638,100-Cty CP TP Va Do Uong Vinatea-NR,dang kinh doanh,Y
263,3444795,15512,100-Cty CP Uniben-NR,dang kinh doanh,Y
534,3278389,16701,100-Cty CPTP Binh Tay-NR,dang kinh doanh,Y
535,3278390,16701,100-Cty CPTP Binh Tay-NR,dang kinh doanh,Y
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,dang kinh doanh,Y
669,3454994,17639,100-Cty TNHH Eikodo Viet Nam-NR,dang kinh doanh,Y
670,3454995,17639,100-Cty TNHH Eikodo Viet Nam-NR,dang kinh doanh,Y
671,3454996,17639,100-Cty TNHH Eikodo Viet Nam-NR,dang kinh doanh,Y
672,3454997,17639,100-Cty TNHH Eikodo Viet Nam-NR,dang kinh doanh,Y
