ITEM,VENDOR,STATUS
3517119,15506,Y
3517120,15506,Y
3517121,15506,Y
3463102,15790,N
3541459,15800,N
3541460,15800,N
3422431,16506,Y
3513556,20779,Y
3515339,17733,N
3196366,15800,N
3196367,15800,N
3501639,20484,Y
3501640,20484,Y
3501641,20484,Y
3329700,16506,Y
3545292,16760,Y
3132145,15790,Y
3132228,15790,N
3386499,15506,Y
3386500,15506,Y
3386501,15506,Y
3386502,15506,Y
3386503,15506,N
3386504,15506,Y
3386505,15506,Y
3386506,15506,Y
3386507,15506,Y
3386508,15506,Y
3386509,15506,Y
3491227,15506,Y
3491953,15800,N
3008485,12483,Y
3295614,15506,Y
3497823,15506,Y
3372479,16506,Y
3054635,15790,N
3054651,12483,Y
3257943,16760,Y
3257947,16760,N
3257948,16760,Y
3314153,15506,Y
3314154,15506,Y
3123559,12483,Y
3250058,15506,Y
3250059,15506,Y
3284516,15506,Y
3285331,15800,N
3008472,14653,Y
3008478,12483,Y
3008479,12483,Y
3008481,12483,Y
3008482,12483,Y
3008486,12483,Y
3008490,12483,Y
3449108,16506,Y
3140316,14530,Y
3390942,15790,N
3390945,15790,N
3493891,16506,Y
3493892,16506,Y
3525066,21076,Y
3282741,16760,Y
3535758,21076,Y
3137587,15790,Y
3137588,15790,Y
3137589,15790,N
3515340,17733,Y
3515341,17733,Y
3515342,17733,Y
3515343,17733,Y
3513552,20779,Y
3513553,20779,N
3513554,20779,Y
3513555,20779,Y
3521129,20484,Y
3521130,20484,Y
3521131,17733,Y
3314078,16760,N
3314147,15506,Y
3452209,15506,Y
3452211,17559,Y
3452217,17559,Y
3452218,17559,Y
3452220,17559,Y
3452222,17559,Y
3452223,17559,Y
3184818,15506,Y
3184823,15506,Y
3184824,15506,Y
3500596,17559,Y
3160021,15506,Y
3160022,15506,Y
3160023,15506,Y
3160024,15506,Y
3288046,15800,N
3333828,15506,Y
3333830,15506,Y
3333833,15506,Y
3333834,15506,Y
3333835,15506,Y
3372212,15506,Y
3372213,15506,Y
3372214,15506,N
3372481,16506,Y
3530731,21076,Y
3530732,21076,Y
3530733,21076,Y
3530734,21076,Y
3523764,17559,Y
3523765,17559,Y
3523766,17559,Y
3524461,20536,N
3524462,20536,N
3356098,15506,Y
3356101,15506,Y
3192268,16760,N
3473446,17559,Y
3277949,15506,Y
3277950,15506,Y
3501642,20484,Y
3541455,15800,N
3553316,20779,Y
3269076,16506,Y
3271310,16760,N
3320019,15506,Y
3535759,21076,Y
3535760,21076,Y
3535761,21076,Y
3537271,17733,Y
3384314,15800,N
3437745,15506,Y
3437748,15506,Y
3437749,15506,Y
3437750,15506,N
3525067,21076,Y
3525068,21076,Y
3525069,21076,Y
3525114,17733,Y
3525115,17733,Y
3525116,20484,Y
3527979,17559,Y
3527980,17733,N
3282513,15506,Y
3282735,16760,N
3282736,16760,N
3282737,16760,N
3466392,15790,N
3467305,15790,N
3217101,15506,Y
3217105,15506,Y
3110820,15790,Y
3110821,15790,Y
3463138,15790,N
3463139,15790,N
3463140,15790,N
3463141,15790,N
3463142,15790,N
3463143,15790,N
3463144,15790,N
3463145,15790,N
3422432,16506,Y
3007093,15790,Y
3296686,15506,N
3343735,15506,Y
3545291,16760,N
3537640,20536,N
3538788,20779,Y
3538789,20779,Y
3540979,20779,N
3540980,20779,N
3541456,15800,N
3541457,15800,N
3541458,15800,N
3541461,15800,N
3541462,15800,N
3196362,15800,N
3196363,15800,N
3196365,15800,N
3196368,15800,N
3196370,15800,N
3408174,15506,N
3408176,15506,Y
3503165,16760,N
3503301,20536,N
3503302,20536,N
3503303,20536,N
3317725,10023,Y
3416065,10023,Y
3416066,10023,Y
3416071,10023,Y
3005073,10023,Y
3005075,10023,Y
3005077,10023,Y
3295355,10023,Y
3258064,10023,Y
3489126,10023,Y
3524289,10023,N
3356234,10023,Y
3192836,10023,Y
3286741,10023,Y
3532867,10023,Y
3536326,10023,Y
3126487,10023,Y
3282731,10023,Y
3467853,10023,Y
3214107,10023,Y
3216135,10023,Y
3377186,10023,Y
3401492,10023,Y
3401493,10023,Y
3401494,10023,Y
3290133,10023,Y
3290134,10023,Y
3345933,10023,Y
3229501,10023,Y
3231570,10023,Y
